EntryTime,ExitTime,Symbol,Direction,Volume,EntryPrice,ExitPrice,Result,ProfitJPY,Balance,Duration,Comment
2025.01.02 14:00:20,2025.01.02 15:30:40,AUDUSD#,BUY,0.05,0.62164,0.62037,SL,-996,99004,1h30m,sl 0.62037
2025.01.02 15:15:20,2025.01.02 17:28:40,EURJPY#,SELL,0.02,161.986,161.509,TP,954,100954,2h13m,tp 161.509
2025.01.02 16:46:20,2025.01.02 17:34:40,GOLD#,BUY,1.99,2649.31,2652.31,TP,93762,193762,0h48m,tp 2652.31
2025.01.02 16:56:00,2025.01.02 18:03:40,AUDUSD#,SELL,0.05,0.62125,0.62028,TP,763,99767,1h07m,tp 0.62028
2025.01.02 17:45:20,2025.01.02 17:52:40,GOLD#,BUY,3.51,2651.59,2654.89,TP,181928,375690,0h07m,tp 2654.89
2025.01.02 18:11:40,2025.01.02 18:22:40,GOLD#,BUY,6.63,2653.80,2657.20,TP,354852,730542,0h11m,tp 2657.20
2025.01.02 18:15:20,2025.01.03 02:48:40,AUDUSD#,SELL,0.03,0.61992,0.62154,SL,-765,99002,8h33m,sl 0.62154
2025.01.02 18:30:40,2025.01.02 18:54:40,GOLD#,BUY,12.44,2656.22,2659.74,TP,690287,1420829,0h24m,tp 2659.74
2025.01.03 06:00:00,2025.01.03 09:21:40,AUDJPY#,SELL,0.05,97.709,97.538,TP,855,100855,3h21m,tp 97.538
2025.01.03 06:00:20,2025.01.03 06:25:40,USDJPY#,SELL,0.12,157.306,157.384,SL,-936,99064,0h25m,sl 157.384
2025.01.03 07:00:20,2025.01.03 07:11:20,USDJPY#,SELL,0.14,157.279,157.346,SL,-938,98126,0h11m,sl 157.346
2025.01.03 07:48:20,2025.01.03 09:10:40,USDJPY#,SELL,0.14,157.267,157.045,TP,3108,101234,1h22m,tp 157.045
2025.01.03 09:15:20,2025.01.03 09:16:40,USDJPY#,SELL,0.14,157.043,157.113,SL,-980,100254,0h01m,sl 157.113
2025.01.03 09:25:40,2025.01.03 11:10:40,AUDJPY#,SELL,0.05,97.605,97.786,SL,-905,99950,1h45m,sl 97.786
2025.01.03 10:00:00,2025.01.03 10:42:40,GBPJPY#,SELL,0.03,194.831,195.120,SL,-867,99133,0h42m,sl 195.120
2025.01.03 10:00:20,2025.01.03 10:13:40,EURJPY#,SELL,0.05,161.535,161.727,SL,-960,99994,0h13m,sl 161.727
2025.01.03 10:00:40,2025.01.03 10:10:40,USDJPY#,SELL,0.15,157.161,157.226,SL,-975,99279,0h10m,sl 157.226
2025.01.03 10:15:20,2025.01.03 17:03:40,EURJPY#,BUY,0.04,161.743,162.008,TP,1060,101054,6h48m,tp 162.008
2025.01.03 11:15:40,2025.01.03 11:44:20,USDJPY#,SELL,0.12,157.186,157.268,SL,-984,98295,0h28m,sl 157.268
2025.01.03 12:15:20,2025.01.03 22:07:40,GBPJPY#,SELL,0.02,194.954,195.392,SL,-876,98257,9h52m,sl 195.392
2025.01.03 13:15:20,2025.01.03 15:05:40,AUDJPY#,BUY,0.04,97.888,97.678,SL,-840,99110,1h50m,sl 97.678
2025.01.03 13:30:20,2025.01.03 17:11:40,USDJPY#,SELL,0.11,157.266,157.350,SL,-924,97371,3h41m,sl 157.350
2025.01.03 14:00:00,2025.01.03 16:02:40,GBPUSD#,BUY,0.06,1.24074,1.23977,SL,-915,99085,2h02m,sl 1.23977
2025.01.03 14:02:40,2025.01.03 17:24:40,EURUSD#,BUY,0.03,1.02995,1.02796,SL,-939,99061,3h22m,sl 1.02796
2025.01.03 16:31:40,2025.01.03 17:19:20,AUDJPY#,BUY,0.05,97.776,97.605,SL,-855,98255,0h47m,sl 97.605
2025.01.03 16:45:40,2025.01.03 17:00:20,GBPUSD#,BUY,0.07,1.24116,1.24030,SL,-946,98139,0h14m,sl 1.24030
2025.01.03 17:00:40,2025.01.03 17:02:40,GOLD#,SELL,29.53,2647.67,2644.78,TP,1342195,2763024,0h02m,tp 2644.78
2025.01.03 17:15:20,2025.01.03 17:22:40,USDJPY#,BUY,0.11,157.425,157.337,SL,-968,96403,0h07m,sl 157.337
2025.01.03 17:30:40,2025.01.03 18:50:40,GOLD#,SELL,50,2642.80,2639.59,TP,2523766,5286790,1h20m,tp 2639.59
2025.01.03 18:00:20,2025.01.03 23:03:40,EURUSD#,BUY,0.02,1.02884,1.03075,TP,601,99662,5h03m,tp 1.03075
2025.01.03 18:00:20,2025.01.03 21:33:40,GBPUSD#,BUY,0.06,1.24051,1.24299,TP,2338,100477,3h33m,tp 1.24299
2025.01.06 04:42:40,2025.01.06 05:18:40,GOLD#,BUY,50,2645.45,2642.18,SL,-2579082,2707708,0h36m,sl 2642.18
2025.01.06 06:15:40,2025.01.06 06:22:40,GOLD#,SELL,50,2638.76,2636.58,TP,1718865,4426573,0h07m,tp 2636.58
2025.01.06 07:00:40,2025.01.06 07:30:20,GOLD#,SELL,50,2635.75,2633.68,TP,1632920,6059493,0h29m,tp 2633.68
2025.01.06 07:43:00,2025.01.06 07:47:20,GOLD#,SELL,50,2634.04,2632.10,TP,1530136,7589629,0h04m,tp 2632.10
2025.01.06 07:48:40,2025.01.06 08:22:40,GOLD#,SELL,50,2633.19,2631.34,TP,1458475,9048104,0h34m,tp 2631.34
2025.01.06 08:30:20,2025.01.06 09:32:40,GOLD#,SELL,50,2631.20,2629.20,TP,1575790,10623894,1h02m,tp 2629.20
2025.01.06 09:45:20,2025.01.06 10:21:40,GOLD#,SELL,50,2626.12,2629.54,SL,-2696721,7927173,0h36m,sl 2629.54
2025.01.06 10:00:20,2025.01.06 10:37:40,EURJPY#,BUY,0.05,162.832,163.084,TP,1260,102314,0h37m,tp 163.084
2025.01.06 10:39:40,2025.01.06 11:08:40,EURJPY#,BUY,0.04,163.070,163.353,TP,1132,103446,0h29m,tp 163.353
