DateTime,Ticket,Symbol,Type,Volume,Price,SL,TP,ExecutionTime,Status,Comment
2025.01.02 14:00:20,2,AUDUSD#,buy,0.05 / 0.05,0.00000,0.62037,0.62263,2025.01.02 14:00:20,filled,OkiFVG
2025.01.02 15:30:40,3,AUDUSD#,sell,0.05 / 0.05,0.00000,,,2025.01.02 15:30:40,filled,sl 0.62037
2025.01.02 16:56:00,4,AUDUSD#,sell,0.05 / 0.05,0.00000,0.62250,0.62028,2025.01.02 16:56:00,filled,OkiFVG
2025.01.02 18:03:40,5,AUDUSD#,buy,0.05 / 0.05,0.00000,,,2025.01.02 18:03:40,filled,tp 0.62028
2025.01.02 18:15:20,6,AUDUSD#,sell,0.03 / 0.03,0.00000,0.62154,0.61866,2025.01.02 18:15:20,filled,OkiFVG
2025.01.03 02:48:40,7,AUDUSD#,buy,0.03 / 0.03,0.00000,,,2025.01.03 02:48:40,filled,sl 0.62154
2025.01.10 14:01:20,8,AUDUSD#,sell,0.06 / 0.06,0.00000,0.61953,0.61791,2025.01.10 14:01:20,filled,OkiFVG
2025.01.10 15:30:40,9,AUDUSD#,buy,0.06 / 0.06,0.00000,,,2025.01.10 15:30:40,filled,tp 0.61791
2025.01.17 14:03:40,10,AUDUSD#,sell,0.06 / 0.06,0.00000,0.62053,0.61877,2025.01.17 14:03:40,filled,OkiFVG
2025.01.17 14:40:00,11,AUDUSD#,buy,0.06 / 0.06,0.00000,,,2025.01.17 14:40:00,filled,tp 0.61877
2025.02.11 14:00:40,12,AUDUSD#,buy,0.07 / 0.07,0.00000,0.62655,0.62806,2025.02.11 14:00:40,filled,OkiFVG
2025.02.11 14:26:40,13,AUDUSD#,sell,0.07 / 0.07,0.00000,,,2025.02.11 14:26:40,filled,tp 0.62806
2025.02.11 14:30:20,14,AUDUSD#,buy,0.07 / 0.07,0.00000,0.62708,0.62868,2025.02.11 14:30:20,filled,OkiFVG
2025.02.11 16:29:40,15,AUDUSD#,sell,0.07 / 0.07,0.00000,,,2025.02.11 16:29:40,filled,tp 0.62868
2025.02.11 16:30:40,16,AUDUSD#,buy,0.06 / 0.06,0.00000,0.62783,0.62957,2025.02.11 16:30:40,filled,OkiFVG
