EntryTime,ExitTime,Symbol,Direction,Volume,EntryPrice,ExitPrice,Result,ProfitJPY,Balance,Duration,Comment
2025.01.02 15:15:20,2025.01.02 17:28:40,EURJPY#,SELL,0.02,161.986,161.509,TP,954,100954,2h13m,tp 161.509
2025.01.03 10:00:20,2025.01.03 10:13:40,EURJPY#,SELL,0.05,161.535,161.727,SL,-960,99994,0h13m,sl 161.727
2025.01.03 10:15:20,2025.01.03 17:03:40,EURJPY#,BUY,0.04,161.743,162.008,TP,1060,101054,6h48m,tp 162.008
2025.01.06 10:00:20,2025.01.06 10:37:40,EURJPY#,BUY,0.05,162.832,163.084,TP,1260,102314,0h37m,tp 163.084
2025.01.06 10:39:40,2025.01.06 11:08:40,EURJPY#,BUY,0.04,163.070,163.353,TP,1132,103446,0h29m,tp 163.353
2025.01.07 10:02:20,2025.01.07 10:14:40,EURJPY#,BUY,0.04,164.159,163.919,SL,-960,102486,0h12m,sl 163.919
2025.01.07 10:15:40,2025.01.07 11:04:20,EURJPY#,SELL,0.03,163.954,164.224,SL,-810,101676,0h48m,sl 164.224
2025.01.07 11:15:20,2025.01.07 14:48:40,EURJPY#,BUY,0.03,164.282,163.970,SL,-936,100740,3h33m,sl 163.970
2025.01.07 15:30:20,2025.01.07 17:48:40,EURJPY#,BUY,0.03,163.995,163.676,SL,-957,99783,2h18m,sl 163.676
2025.01.08 10:03:40,2025.01.08 10:19:40,EURJPY#,SELL,0.04,163.340,163.548,SL,-832,98951,0h16m,sl 163.548
2025.01.08 11:00:40,2025.01.08 13:39:40,EURJPY#,SELL,0.03,163.265,162.911,TP,1062,100013,2h39m,tp 162.911
2025.01.08 13:45:20,2025.01.08 18:53:40,EURJPY#,SELL,0.03,162.981,163.277,SL,-888,99125,5h08m,sl 163.277
2025.01.09 10:00:00,2025.01.09 11:18:40,EURJPY#,SELL,0.03,162.792,163.088,SL,-888,98237,1h18m,sl 163.088
2025.01.09 12:00:20,2025.01.09 14:17:40,EURJPY#,SELL,0.03,162.922,162.514,TP,1224,99461,2h17m,tp 162.514
2025.01.09 14:18:20,2025.01.09 19:04:40,EURJPY#,SELL,0.03,162.504,162.796,SL,-876,98585,4h46m,sl 162.796
2025.01.10 10:15:40,2025.01.10 10:30:40,EURJPY#,BUY,0.05,163.132,162.942,SL,-950,97635,0h15m,sl 162.942
2025.01.10 10:45:20,2025.01.10 11:10:40,EURJPY#,SELL,0.03,162.725,162.398,TP,981,98616,0h25m,tp 162.398
2025.01.10 11:15:20,2025.01.10 12:13:40,EURJPY#,SELL,0.03,162.423,162.733,SL,-930,97686,0h58m,sl 162.733
2025.01.10 14:00:20,2025.01.10 15:34:20,EURJPY#,SELL,0.02,162.767,162.359,TP,816,98502,1h34m,tp 162.359
2025.01.10 15:38:40,2025.01.10 16:29:40,EURJPY#,SELL,0.04,162.644,162.352,TP,1168,99670,0h51m,tp 162.352
2025.01.10 16:30:20,2025.01.10 16:57:40,EURJPY#,SELL,0.02,162.361,161.915,TP,892,100562,0h27m,tp 161.915
2025.01.13 10:00:20,2025.01.13 10:07:40,EURJPY#,SELL,0.03,160.787,161.093,SL,-918,99644,0h07m,sl 161.093
2025.01.13 11:15:20,2025.01.13 11:27:40,EURJPY#,SELL,0.02,160.862,160.360,TP,1004,100648,0h12m,tp 160.360
2025.01.14 10:00:59,2025.01.14 11:14:40,EURJPY#,BUY,0.03,161.486,161.869,TP,1149,101797,1h13m,tp 161.869
2025.01.14 11:15:20,2025.01.14 15:01:40,EURJPY#,BUY,0.03,161.918,161.628,SL,-870,100927,3h46m,sl 161.628
2025.01.14 15:15:59,2025.01.14 16:28:40,EURJPY#,SELL,0.04,161.740,161.976,SL,-944,99983,1h12m,sl 161.976
2025.01.15 10:00:20,2025.01.15 17:20:40,EURJPY#,SELL,0.03,161.672,161.275,TP,1191,101174,7h20m,tp 161.275
2025.01.16 10:08:40,2025.01.16 11:40:40,EURJPY#,SELL,0.03,160.606,160.274,TP,996,102170,1h32m,tp 160.274
2025.01.16 11:45:20,2025.01.16 16:50:40,EURJPY#,SELL,0.02,160.165,160.509,SL,-688,101482,5h05m,sl 160.509
2025.01.17 10:27:40,2025.01.17 11:27:40,EURJPY#,BUY,0.03,160.162,160.481,TP,957,102439,1h00m,tp 160.481
2025.01.17 11:30:20,2025.01.17 15:13:20,EURJPY#,BUY,0.03,160.465,160.141,SL,-972,101467,3h43m,sl 160.141
2025.01.17 15:45:59,2025.01.17 16:16:20,EURJPY#,BUY,0.03,160.204,159.940,SL,-792,100675,0h30m,sl 159.940
2025.01.17 16:45:20,2025.01.17 17:05:40,EURJPY#,BUY,0.02,160.549,160.984,TP,870,101545,0h20m,tp 160.984
2025.01.20 10:00:00,2025.01.20 12:17:20,EURJPY#,BUY,0.04,160.949,161.220,TP,1084,102629,2h17m,tp 161.220
2025.01.20 12:30:20,2025.01.20 15:31:40,EURJPY#,BUY,0.03,161.293,161.622,TP,987,103616,3h01m,tp 161.622
2025.01.21 10:00:00,2025.01.21 10:37:40,EURJPY#,BUY,0.04,161.504,161.265,SL,-956,102660,0h37m,sl 161.265
2025.01.21 11:15:40,2025.01.21 18:21:40,EURJPY#,BUY,0.03,161.407,161.735,TP,984,103644,7h06m,tp 161.735
2025.01.22 10:00:20,2025.01.22 10:30:40,EURJPY#,BUY,0.04,162.451,162.221,SL,-920,102724,0h30m,sl 162.221
2025.01.22 11:00:20,2025.01.22 12:05:40,EURJPY#,BUY,0.03,162.286,162.669,TP,1149,103873,1h05m,tp 162.669
2025.01.22 12:15:20,2025.01.22 18:30:40,EURJPY#,BUY,0.03,162.642,163.051,TP,1227,105100,6h15m,tp 163.051
