EntryTime,ExitTime,Symbol,Direction,Volume,EntryPrice,ExitPrice,Result,ProfitJPY,Balance,Duration,Comment
2025.01.03 14:02:40,2025.01.03 17:24:40,EURUSD#,BUY,0.03,1.02995,1.02796,SL,-939,99061,3h22m,sl 1.02796
2025.01.03 18:00:20,2025.01.03 23:03:40,EURUSD#,BUY,0.02,1.02884,1.03075,TP,601,99662,5h03m,tp 1.03075
2025.01.09 14:01:40,2025.01.09 15:31:40,EURUSD#,SELL,0.03,1.02999,1.03178,SL,-847,98815,1h30m,sl 1.03178
2025.01.09 16:00:20,2025.01.09 18:33:40,EURUSD#,SELL,0.03,1.03071,1.02930,TP,668,99483,2h33m,tp 1.02930
2025.01.09 18:38:40,2025.01.10 15:30:40,EURUSD#,SELL,0.03,1.02962,1.02811,TP,715,100198,20h52m,tp 1.02811
2025.01.14 15:30:20,2025.01.14 15:30:40,EURUSD#,SELL,0.03,1.02405,1.02609,SL,-966,99232,0h00m,sl 1.02609
2025.01.14 17:45:20,2025.01.15 15:32:40,EURUSD#,BUY,0.01,1.02896,1.03537,TP,1003,100235,21h47m,tp 1.03537
2025.01.16 14:30:20,2025.01.16 17:05:40,EURUSD#,SELL,0.03,1.02744,1.02924,SL,-843,99392,2h35m,sl 1.02924
2025.01.16 18:16:20,2025.01.17 17:05:40,EURUSD#,SELL,0.01,1.02916,1.03240,SL,-505,98887,22h49m,sl 1.03240
2025.01.23 14:45:20,2025.01.23 16:17:40,EURUSD#,BUY,0.03,1.04002,1.04151,TP,699,99586,1h32m,tp 1.04151
2025.01.23 16:22:40,2025.01.23 17:18:20,EURUSD#,BUY,0.03,1.04131,1.03936,SL,-915,98671,0h55m,sl 1.03936
2025.01.23 18:30:20,2025.01.23 19:45:40,EURUSD#,BUY,0.02,1.04065,1.04325,TP,811,99482,1h15m,tp 1.04325
2025.01.29 14:00:00,2025.01.29 15:25:40,EURUSD#,SELL,0.03,1.04010,1.03830,TP,839,100321,1h25m,tp 1.03830
2025.01.29 15:30:59,2025.01.29 17:14:40,EURUSD#,SELL,0.03,1.03862,1.04063,SL,-936,99385,1h43m,sl 1.04063
2025.01.30 14:00:40,2025.01.30 15:21:40,EURUSD#,SELL,0.03,1.03909,1.04112,SL,-938,98447,1h21m,sl 1.04112
2025.01.31 14:00:00,2025.01.31 17:58:40,EURUSD#,SELL,0.02,1.03752,1.03982,SL,-712,97735,3h58m,sl 1.03982
2025.01.31 18:00:20,2025.01.31 19:10:20,EURUSD#,BUY,0.02,1.03967,1.04214,TP,765,98500,1h10m,tp 1.04214
2025.02.06 14:00:59,2025.02.06 17:20:40,EURUSD#,SELL,0.03,1.03577,1.03755,SL,-811,97689,3h19m,sl 1.03755
2025.02.06 17:21:40,2025.02.06 20:42:40,EURUSD#,BUY,0.03,1.03726,1.03904,TP,809,98498,3h21m,tp 1.03904
2025.02.07 14:01:40,2025.02.07 14:31:40,EURUSD#,BUY,0.05,1.03822,1.03700,SL,-928,97570,0h30m,sl 1.03700
2025.02.07 14:31:59,2025.02.07 15:30:20,EURUSD#,SELL,0.04,1.03703,1.03838,SL,-821,96749,0h58m,sl 1.03838
2025.02.10 14:45:20,2025.02.11 01:16:40,EURUSD#,BUY,0.03,1.03164,1.03000,SL,-748,96001,10h31m,sl 1.03000
2025.02.11 14:00:20,2025.02.11 16:49:40,EURUSD#,BUY,0.04,1.03223,1.03354,TP,798,96799,2h49m,tp 1.03354
2025.02.11 17:01:40,2025.02.11 18:06:40,EURUSD#,BUY,0.04,1.03308,1.03437,TP,787,97586,1h05m,tp 1.03437
2025.02.11 18:15:20,2025.02.11 21:40:40,EURUSD#,BUY,0.03,1.03469,1.03640,TP,782,98368,3h25m,tp 1.03640
2025.02.12 14:45:20,2025.02.12 15:17:40,EURUSD#,BUY,0.04,1.03773,1.03637,SL,-835,97533,0h32m,sl 1.03637
2025.02.13 14:00:20,2025.02.13 15:30:40,EURUSD#,SELL,0.03,1.04031,1.03841,TP,876,98409,1h30m,tp 1.03841
2025.02.14 14:30:20,2025.02.14 15:23:40,EURUSD#,BUY,0.03,1.04692,1.04847,TP,710,99119,0h53m,tp 1.04847
2025.02.14 15:30:20,2025.02.14 15:32:20,EURUSD#,BUY,0.03,1.04812,1.04974,TP,740,99859,0h02m,tp 1.04974
2025.02.14 16:15:20,2025.02.17 10:02:40,EURUSD#,BUY,0.03,1.04994,1.04785,SL,-952,98907,65h47m,sl 1.04785
2025.02.17 14:00:40,2025.02.17 15:27:40,EURUSD#,SELL,0.04,1.04805,1.04677,TP,776,99683,1h27m,tp 1.04677
2025.02.17 15:30:20,2025.02.17 17:11:40,EURUSD#,SELL,0.04,1.04681,1.04833,SL,-921,98762,1h41m,sl 1.04833
2025.02.18 14:15:20,2025.02.18 15:10:20,EURUSD#,SELL,0.05,1.04581,1.04470,TP,842,99604,0h55m,tp 1.04470
2025.02.18 15:15:20,2025.02.18 17:51:40,EURUSD#,SELL,0.04,1.04493,1.04625,SL,-800,98804,2h36m,sl 1.04625
2025.02.18 18:45:20,2025.02.18 19:47:40,EURUSD#,SELL,0.03,1.04583,1.04422,TP,734,99538,1h02m,tp 1.04422
