EntryTime,ExitTime,Symbol,Direction,Volume,EntryPrice,ExitPrice,Result,ProfitJPY,Balance,Duration,Comment
2025.01.03 10:00:00,2025.01.03 10:42:40,GBPJPY#,SELL,0.03,194.831,195.120,SL,-867,99133,0h42m,sl 195.120
2025.01.03 12:15:20,2025.01.03 22:07:40,GBPJPY#,SELL,0.02,194.954,195.392,SL,-876,98257,9h52m,sl 195.392
2025.01.07 10:45:40,2025.01.07 11:05:40,GBPJPY#,BUY,0.02,197.573,197.917,TP,688,98945,0h20m,tp 197.917
2025.01.07 11:15:20,2025.01.07 15:01:40,GBPJPY#,BUY,0.02,197.989,197.522,SL,-934,98011,3h46m,sl 197.522
2025.01.07 15:30:20,2025.01.07 17:47:40,GBPJPY#,BUY,0.02,197.737,197.323,SL,-828,97183,2h17m,sl 197.323
2025.01.08 11:00:20,2025.01.08 13:15:40,GBPJPY#,SELL,0.02,196.893,196.536,TP,714,97897,2h15m,tp 196.536
2025.01.08 13:18:40,2025.01.08 13:35:20,GBPJPY#,SELL,0.01,196.544,195.552,TP,992,98889,0h16m,tp 195.552
2025.01.10 10:00:20,2025.01.10 10:36:40,GBPJPY#,BUY,0.02,194.659,194.312,SL,-694,98195,0h36m,sl 194.312
2025.01.10 10:45:20,2025.01.10 13:39:40,GBPJPY#,SELL,0.02,194.080,194.566,SL,-972,97223,2h54m,sl 194.566
2025.01.10 14:01:40,2025.01.10 17:06:40,GBPJPY#,SELL,0.01,194.341,193.107,TP,1234,98457,3h05m,tp 193.107
2025.01.14 10:00:59,2025.01.14 10:15:40,GBPJPY#,BUY,0.02,192.321,192.712,TP,782,99239,0h14m,tp 192.712
2025.01.14 10:21:20,2025.01.14 14:41:40,GBPJPY#,BUY,0.01,192.642,192.109,SL,-533,98706,4h20m,sl 192.109
2025.01.14 14:45:20,2025.01.14 15:29:40,GBPJPY#,SELL,0.02,192.099,191.719,TP,760,99466,0h44m,tp 191.719
2025.01.17 10:00:40,2025.01.17 11:34:40,GBPJPY#,SELL,0.02,189.548,190.029,SL,-962,98504,1h34m,sl 190.029
2025.01.17 14:00:20,2025.01.17 15:27:40,GBPJPY#,SELL,0.02,189.889,189.525,TP,728,99232,1h27m,tp 189.525
2025.01.17 15:30:20,2025.01.17 16:30:40,GBPJPY#,SELL,0.02,189.485,189.883,SL,-796,98436,1h00m,sl 189.883
2025.01.20 10:11:20,2025.01.20 10:36:40,GBPJPY#,BUY,0.02,190.701,190.366,SL,-670,97766,0h25m,sl 190.366
2025.01.20 12:41:40,2025.01.20 15:31:40,GBPJPY#,BUY,0.02,190.625,190.991,TP,732,98498,2h50m,tp 190.991
2025.01.22 10:15:20,2025.01.22 10:32:40,GBPJPY#,BUY,0.02,192.295,191.902,SL,-786,97712,0h17m,sl 191.902
2025.01.22 10:45:20,2025.01.22 11:07:40,GBPJPY#,SELL,0.02,191.849,192.327,SL,-956,96756,0h22m,sl 192.327
2025.01.22 12:00:20,2025.01.24 05:24:40,GBPJPY#,BUY,0.01,192.465,193.634,TP,1169,97925,41h24m,tp 193.634
2025.01.29 10:15:20,2025.01.29 15:17:40,GBPJPY#,SELL,0.02,193.122,192.750,TP,744,98669,5h02m,tp 192.750
2025.02.06 10:00:20,2025.02.06 10:45:40,GBPJPY#,SELL,0.02,190.328,190.032,TP,592,99261,0h45m,tp 190.032
2025.02.06 11:00:20,2025.02.06 11:53:40,GBPJPY#,SELL,0.02,189.982,189.672,TP,620,99881,0h53m,tp 189.672
2025.02.11 10:00:20,2025.02.11 10:31:40,GBPJPY#,SELL,0.03,187.550,187.349,TP,603,100484,0h31m,tp 187.349
2025.02.11 11:15:40,2025.02.11 16:23:40,GBPJPY#,BUY,0.01,187.996,189.022,TP,1026,101510,5h08m,tp 189.022
2025.02.13 10:02:40,2025.02.13 10:25:40,GBPJPY#,BUY,0.01,192.986,192.442,SL,-544,100966,0h23m,sl 192.442
2025.02.13 10:45:20,2025.02.17 02:55:40,GBPJPY#,SELL,0.01,192.310,191.079,TP,1231,102197,88h10m,tp 191.079
2025.02.17 10:00:20,2025.02.17 14:26:40,GBPJPY#,BUY,0.02,191.237,190.806,SL,-862,101335,4h26m,sl 190.806
2025.02.17 14:30:20,2025.02.17 19:29:40,GBPJPY#,SELL,0.02,190.762,191.154,SL,-784,100551,4h59m,sl 191.154
2025.02.18 10:00:20,2025.02.18 11:38:20,GBPJPY#,BUY,0.02,191.801,191.403,SL,-796,99755,1h38m,sl 191.403
2025.02.18 12:15:20,2025.02.18 23:05:40,GBPJPY#,SELL,0.02,191.218,191.713,SL,-990,98765,10h50m,sl 191.713
2025.02.19 11:00:20,2025.02.19 12:48:20,GBPJPY#,SELL,0.02,191.330,190.973,TP,714,99479,1h48m,tp 190.973
2025.02.24 10:00:00,2025.02.24 10:31:40,GBPJPY#,SELL,0.02,188.975,188.643,TP,664,100143,0h31m,tp 188.643
2025.02.24 10:32:40,2025.02.24 11:07:40,GBPJPY#,SELL,0.02,188.697,189.162,SL,-930,99213,0h35m,sl 189.162
2025.02.24 11:45:20,2025.02.25 03:06:40,GBPJPY#,SELL,0.01,189.030,189.608,SL,-578,98635,15h21m,sl 189.608
2025.02.26 10:05:40,2025.02.26 10:45:40,GBPJPY#,BUY,0.02,189.132,188.755,SL,-754,97881,0h40m,sl 188.755
2025.02.26 10:48:40,2025.02.26 14:03:40,GBPJPY#,SELL,0.02,188.823,189.281,SL,-916,96965,3h15m,sl 189.281
2025.02.26 15:06:40,2025.02.26 16:11:40,GBPJPY#,SELL,0.02,189.123,189.478,SL,-710,96255,1h05m,sl 189.478
2025.02.27 10:14:40,2025.02.27 10:21:40,GBPJPY#,BUY,0.02,189.107,189.372,TP,530,96785,0h07m,tp 189.372
2025.02.27 10:30:20,2025.02.27 10:49:40,GBPJPY#,BUY,0.02,189.406,189.724,TP,636,97421,0h19m,tp 189.724
2025.03.03 10:00:20,2025.03.03 10:26:40,GBPJPY#,SELL,0.02,189.233,188.883,TP,700,98121,0h26m,tp 188.883
2025.03.05 10:00:20,2025.03.05 15:49:40,GBPJPY#,BUY,0.01,191.561,191.008,SL,-553,97568,5h49m,sl 191.008
2025.03.06 10:00:20,2025.03.06 10:06:40,GBPJPY#,SELL,0.02,191.557,191.185,TP,744,98312,0h06m,tp 191.185
2025.03.07 10:00:00,2025.03.07 15:57:40,GBPJPY#,BUY,0.01,190.549,189.984,SL,-565,97747,5h57m,sl 189.984
