DateTime,Ticket,Symbol,Type,Volume,Price,SL,TP,ExecutionTime,Status,Comment
2025.01.03 14:00:00,2,GBPUSD#,buy,0.06 / 0.06,0.00000,1.23977,1.24317,2025.01.03 14:00:00,filled,OkiFVG
2025.01.03 16:02:40,3,GBPUSD#,sell,0.06 / 0.06,0.00000,,,2025.01.03 16:02:40,filled,sl 1.23977
2025.01.03 16:45:40,4,GBPUSD#,buy,0.07 / 0.07,0.00000,1.24030,1.24332,2025.01.03 16:45:40,filled,OkiFVG
2025.01.03 17:00:20,5,GBPUSD#,sell,0.07 / 0.07,0.00000,,,2025.01.03 17:00:20,filled,sl 1.24030
2025.01.03 18:00:20,6,GBPUSD#,buy,0.06 / 0.06,0.00000,1.23952,1.24299,2025.01.03 18:00:20,filled,OkiFVG
2025.01.03 21:33:40,7,GBPUSD#,sell,0.06 / 0.06,0.00000,,,2025.01.03 21:33:40,filled,tp 1.24299
2025.01.10 14:30:20,8,GBPUSD#,buy,0.07 / 0.07,0.00000,1.23022,1.23329,2025.01.10 14:30:20,filled,OkiFVG
2025.01.10 15:30:40,9,GBPUSD#,sell,0.07 / 0.07,0.00000,,,2025.01.10 15:30:40,filled,sl 1.23022
2025.01.16 14:24:40,10,GBPUSD#,sell,0.06 / 0.06,0.00000,1.22082,1.21761,2025.01.16 14:24:40,filled,OkiFVG
2025.01.16 15:31:40,11,GBPUSD#,buy,0.06 / 0.06,0.00000,,,2025.01.16 15:31:40,filled,tp 1.21761
2025.01.20 14:00:40,12,GBPUSD#,buy,0.05 / 0.05,0.00000,1.21919,1.22339,2025.01.20 14:00:40,filled,OkiFVG
2025.01.20 14:28:40,13,GBPUSD#,sell,0.05 / 0.05,0.00000,,,2025.01.20 14:28:40,filled,sl 1.21919
2025.01.20 15:00:40,14,GBPUSD#,buy,0.05 / 0.05,0.00000,1.21856,1.22233,2025.01.20 15:00:40,filled,OkiFVG
2025.01.20 15:30:20,15,GBPUSD#,sell,0.05 / 0.05,0.00000,,,2025.01.20 15:30:20,filled,sl 1.21856
2025.01.22 15:02:40,16,GBPUSD#,buy,0.05 / 0.05,0.00000,1.23453,1.23846,2025.01.22 15:02:40,filled,OkiFVG
2025.01.22 15:37:40,17,GBPUSD#,sell,0.05 / 0.05,0.00000,,,2025.01.22 15:37:40,filled,sl 1.23453
2025.01.23 15:00:40,18,GBPUSD#,buy,0.06 / 0.06,0.00000,1.23043,1.23365,2025.01.23 15:00:40,filled,OkiFVG
2025.01.23 18:11:40,19,GBPUSD#,sell,0.06 / 0.06,0.00000,,,2025.01.23 18:11:40,filled,sl 1.23043
2025.01.23 18:15:59,20,GBPUSD#,buy,0.04 / 0.04,0.00000,1.23136,1.23585,2025.01.23 18:15:59,filled,OkiFVG
2025.01.23 18:45:40,21,GBPUSD#,sell,0.04 / 0.04,0.00000,,,2025.01.23 18:45:40,filled,tp 1.23585
2025.01.29 14:02:40,22,GBPUSD#,sell,0.06 / 0.06,0.00000,1.24273,1.23931,2025.01.29 14:02:40,filled,OkiFVG
2025.01.29 14:58:40,23,GBPUSD#,buy,0.06 / 0.06,0.00000,,,2025.01.29 14:58:40,filled,sl 1.24273
2025.01.29 15:10:40,24,GBPUSD#,sell,0.06 / 0.06,0.00000,1.24227,1.23902,2025.01.29 15:10:40,filled,OkiFVG
2025.01.29 17:16:40,25,GBPUSD#,buy,0.06 / 0.06,0.00000,,,2025.01.29 17:16:40,filled,sl 1.24227
2025.01.30 14:00:40,26,GBPUSD#,sell,0.06 / 0.06,0.00000,1.24354,1.24035,2025.01.30 14:00:40,filled,OkiFVG
