DateTime,Ticket,Symbol,Type,Volume,Price,SL,TP,ExecutionTime,Status,Comment
2025.01.02 13:00:20,2,USDJPY#,buy,0.02 / 0.02,0.000,156.697,157.473,2025.01.02 13:00:20,filled,OkiFVG
2025.01.02 16:23:40,3,USDJPY#,sell,0.02 / 0.02,0.000,,,2025.01.02 16:23:40,filled,sl 156.697
2025.01.02 16:40:40,4,USDJPY#,buy,0.02 / 0.02,0.000,156.449,157.311,2025.01.02 16:40:40,filled,OkiFVG
2025.01.02 18:03:40,5,USDJPY#,sell,0.02 / 0.02,0.000,,,2025.01.02 18:03:40,filled,tp 157.311
2025.01.02 18:15:40,6,USDJPY#,buy,0.01 / 0.01,0.000,156.731,158.131,2025.01.02 18:15:40,filled,OkiFVG
2025.01.06 14:45:40,7,USDJPY#,sell,0.01 / 0.01,0.000,,,2025.01.06 14:45:40,filled,sl 156.731
2025.01.07 00:51:59,8,USDJPY#,buy,0.06 / 0.06,0.000,157.505,157.773,2025.01.07 00:51:59,filled,OkiFVG
2025.01.07 01:16:40,9,USDJPY#,sell,0.06 / 0.06,0.000,,,2025.01.07 01:16:40,filled,tp 157.773
2025.01.07 01:30:20,10,USDJPY#,buy,0.06 / 0.06,0.000,157.624,157.905,2025.01.07 01:30:20,filled,OkiFVG
2025.01.07 02:07:40,11,USDJPY#,sell,0.06 / 0.06,0.000,,,2025.01.07 02:07:40,filled,tp 157.905
2025.01.07 02:15:20,12,USDJPY#,buy,0.05 / 0.05,0.000,157.710,158.051,2025.01.07 02:15:20,filled,OkiFVG
2025.01.07 02:23:40,13,USDJPY#,sell,0.05 / 0.05,0.000,,,2025.01.07 02:23:40,filled,tp 158.051
2025.01.07 02:30:20,14,USDJPY#,buy,0.04 / 0.04,0.000,157.901,158.313,2025.01.07 02:30:20,filled,OkiFVG
2025.01.07 03:15:40,15,USDJPY#,sell,0.04 / 0.04,0.000,,,2025.01.07 03:15:40,filled,tp 158.313
2025.01.07 03:18:40,16,USDJPY#,buy,0.03 / 0.03,0.000,157.919,158.487,2025.01.07 03:18:40,filled,OkiFVG
2025.01.07 07:31:40,17,USDJPY#,sell,0.03 / 0.03,0.000,,,2025.01.07 07:31:40,filled,sl 157.919
2025.01.07 07:45:40,18,USDJPY#,sell,0.04 / 0.04,0.000,158.050,157.665,2025.01.07 07:45:40,filled,OkiFVG
2025.01.07 09:10:40,19,USDJPY#,buy,0.04 / 0.04,0.000,,,2025.01.07 09:10:40,filled,tp 157.665
2025.01.07 09:30:20,20,USDJPY#,sell,0.03 / 0.03,0.000,157.906,157.383,2025.01.07 09:30:20,filled,OkiFVG
2025.01.07 11:00:40,21,USDJPY#,buy,0.03 / 0.03,0.000,,,2025.01.07 11:00:40,filled,tp 157.383
2025.01.07 11:02:40,22,USDJPY#,sell,0.02 / 0.02,0.000,157.800,157.143,2025.01.07 11:02:40,filled,OkiFVG
2025.01.07 13:11:20,23,USDJPY#,buy,0.02 / 0.02,0.000,,,2025.01.07 13:11:20,filled,sl 157.800
2025.01.07 13:32:40,24,USDJPY#,buy,0.03 / 0.03,0.000,157.513,158.050,2025.01.07 13:32:40,filled,OkiFVG
2025.01.07 17:00:40,25,USDJPY#,sell,0.03 / 0.03,0.000,,,2025.01.07 17:00:40,filled,tp 158.050
2025.01.07 17:15:40,26,USDJPY#,buy,0.02 / 0.02,0.000,157.842,158.564,2025.01.07 17:15:40,filled,OkiFVG
2025.01.07 18:12:40,27,USDJPY#,sell,0.02 / 0.02,0.000,,,2025.01.07 18:12:40,filled,sl 157.842
2025.01.07 20:45:40,28,USDJPY#,buy,0.02 / 0.02,0.000,157.387,158.220,2025.01.07 20:45:40,filled,OkiFVG
2025.01.08 01:40:40,29,USDJPY#,sell,0.02 / 0.02,0.000,,,2025.01.08 01:40:40,filled,tp 158.220
2025.01.08 01:46:40,30,USDJPY#,buy,0.05 / 0.05,0.000,157.967,158.314,2025.01.08 01:46:40,filled,OkiFVG
2025.01.08 02:27:40,31,USDJPY#,sell,0.05 / 0.05,0.000,,,2025.01.08 02:27:40,filled,sl 157.967
2025.01.08 03:00:40,32,USDJPY#,buy,0.03 / 0.03,0.000,157.851,158.337,2025.01.08 03:00:40,filled,OkiFVG
2025.01.08 12:45:40,33,USDJPY#,sell,0.03 / 0.03,0.000,,,2025.01.08 12:45:40,filled,tp 158.337
2025.01.08 12:56:40,34,USDJPY#,buy,0.03 / 0.03,0.000,158.027,158.508,2025.01.08 12:56:40,filled,OkiFVG
2025.01.08 13:33:40,35,USDJPY#,sell,0.03 / 0.03,0.000,,,2025.01.08 13:33:40,filled,tp 158.508
2025.01.08 13:46:59,36,USDJPY#,buy,0.04 / 0.04,0.000,158.227,158.659,2025.01.08 13:46:59,filled,OkiFVG
2025.01.08 15:22:40,37,USDJPY#,sell,0.04 / 0.04,0.000,,,2025.01.08 15:22:40,filled,sl 158.227
2025.01.08 16:30:40,38,USDJPY#,buy,0.03 / 0.03,0.000,158.055,158.662,2025.01.08 16:30:40,filled,OkiFVG
2025.01.09 04:08:20,39,USDJPY#,sell,0.03 / 0.03,0.000,,,2025.01.09 04:08:20,filled,sl 158.055
2025.01.09 04:09:40,40,USDJPY#,sell,0.04 / 0.04,0.000,158.307,157.902,2025.01.09 04:09:40,filled,OkiFVG
2025.01.09 06:01:40,41,USDJPY#,buy,0.04 / 0.04,0.000,,,2025.01.09 06:01:40,filled,tp 157.902
2025.01.09 06:15:20,42,USDJPY#,sell,0.04 / 0.04,0.000,158.052,157.638,2025.01.09 06:15:20,filled,OkiFVG
2025.01.09 07:04:40,43,USDJPY#,buy,0.04 / 0.04,0.000,,,2025.01.09 07:04:40,filled,sl 158.052
2025.01.09 09:15:20,44,USDJPY#,sell,0.03 / 0.03,0.000,158.358,157.863,2025.01.09 09:15:20,filled,OkiFVG
2025.01.09 13:36:40,45,USDJPY#,buy,0.03 / 0.03,0.000,,,2025.01.09 13:36:40,filled,tp 157.863
2025.01.09 13:45:20,46,USDJPY#,sell,0.04 / 0.04,0.000,158.081,157.649,2025.01.09 13:45:20,filled,OkiFVG
2025.01.09 15:33:40,47,USDJPY#,buy,0.04 / 0.04,0.000,,,2025.01.09 15:33:40,filled,tp 157.649
2025.01.09 15:45:20,48,USDJPY#,sell,0.03 / 0.03,0.000,157.874,157.375,2025.01.09 15:45:20,filled,OkiFVG
2025.01.09 17:10:40,49,USDJPY#,buy,0.03 / 0.03,0.000,,,2025.01.09 17:10:40,filled,sl 157.874
2025.01.09 17:45:40,50,USDJPY#,buy,0.03 / 0.03,0.000,157.674,158.133,2025.01.09 17:45:40,filled,OkiFVG
2025.01.09 20:05:40,51,USDJPY#,sell,0.03 / 0.03,0.000,,,2025.01.09 20:05:40,filled,tp 158.133
2025.01.09 20:16:20,52,USDJPY#,buy,0.05 / 0.05,0.000,157.951,158.265,2025.01.09 20:16:20,filled,OkiFVG
2025.01.10 02:58:40,53,USDJPY#,sell,0.05 / 0.05,0.000,,,2025.01.10 02:58:40,filled,sl 157.951
2025.01.10 03:00:20,54,USDJPY#,sell,0.04 / 0.04,0.000,158.221,157.801,2025.01.10 03:00:20,filled,OkiFVG
2025.01.10 04:08:20,55,USDJPY#,buy,0.04 / 0.04,0.000,,,2025.01.10 04:08:20,filled,sl 158.221
2025.01.10 06:15:40,56,USDJPY#,buy,0.04 / 0.04,0.000,158.078,158.506,2025.01.10 06:15:40,filled,OkiFVG
2025.01.10 10:30:40,57,USDJPY#,sell,0.04 / 0.04,0.000,,,2025.01.10 10:30:40,filled,sl 158.078
2025.01.10 10:45:20,58,USDJPY#,sell,0.03 / 0.03,0.000,158.143,157.637,2025.01.10 10:45:20,filled,OkiFVG
2025.01.10 11:10:40,59,USDJPY#,buy,0.03 / 0.03,0.000,,,2025.01.10 11:10:40,filled,tp 157.637
2025.01.10 11:15:20,60,USDJPY#,sell,0.03 / 0.03,0.000,157.968,157.374,2025.01.10 11:15:20,filled,OkiFVG
2025.01.10 12:33:20,61,USDJPY#,buy,0.03 / 0.03,0.000,,,2025.01.10 12:33:20,filled,sl 157.968
2025.01.10 12:45:20,62,USDJPY#,buy,0.02 / 0.02,0.000,157.645,158.324,2025.01.10 12:45:20,filled,OkiFVG
2025.01.10 15:30:40,63,USDJPY#,sell,0.02 / 0.02,0.000,,,2025.01.10 15:30:40,filled,tp 158.324
2025.01.13 02:00:20,64,USDJPY#,buy,0.05 / 0.05,0.000,157.723,158.039,2025.01.13 02:00:20,filled,OkiFVG
2025.01.13 03:23:40,65,USDJPY#,sell,0.05 / 0.05,0.000,,,2025.01.13 03:23:40,filled,sl 157.723
2025.01.13 03:30:20,66,USDJPY#,sell,0.04 / 0.04,0.000,157.875,157.436,2025.01.13 03:30:20,filled,OkiFVG
2025.01.13 03:43:40,67,USDJPY#,buy,0.04 / 0.04,0.000,,,2025.01.13 03:43:40,filled,tp 157.436
2025.01.13 03:45:20,68,USDJPY#,sell,0.03 / 0.03,0.000,157.714,157.211,2025.01.13 03:45:20,filled,OkiFVG
2025.01.13 11:31:40,69,USDJPY#,buy,0.03 / 0.03,0.000,,,2025.01.13 11:31:40,filled,tp 157.211
2025.01.13 11:39:40,70,USDJPY#,sell,0.02 / 0.02,0.000,157.702,156.952,2025.01.13 11:39:40,filled,OkiFVG
2025.01.13 14:55:40,71,USDJPY#,buy,0.02 / 0.02,0.000,,,2025.01.13 14:55:40,filled,tp 156.952
2025.01.14 01:05:40,72,USDJPY#,buy,0.03 / 0.03,0.000,157.156,157.711,2025.01.14 01:05:40,filled,OkiFVG
2025.01.14 01:33:40,73,USDJPY#,sell,0.03 / 0.03,0.000,,,2025.01.14 01:33:40,filled,sl 157.156
2025.01.14 02:15:40,74,USDJPY#,buy,0.02 / 0.02,0.000,157.042,157.715,2025.01.14 02:15:40,filled,OkiFVG
2025.01.14 03:30:40,75,USDJPY#,sell,0.02 / 0.02,0.000,,,2025.01.14 03:30:40,filled,tp 157.715
2025.01.14 03:45:20,76,USDJPY#,buy,0.01 / 0.01,0.000,157.206,158.440,2025.01.14 03:45:20,filled,OkiFVG
2025.01.15 07:43:40,77,USDJPY#,sell,0.01 / 0.01,0.000,,,2025.01.15 07:43:40,filled,sl 157.206
2025.01.15 07:45:40,78,USDJPY#,sell,0.03 / 0.03,0.000,157.499,157.018,2025.01.15 07:45:40,filled,OkiFVG
2025.01.15 09:46:40,79,USDJPY#,buy,0.03 / 0.03,0.000,,,2025.01.15 09:46:40,filled,tp 157.018
2025.01.16 00:15:30,80,USDJPY#,sell,0.05 / 0.05,0.000,156.524,156.198,2025.01.16 00:15:30,filled,OkiFVG
2025.01.16 02:00:20,81,USDJPY#,buy,0.05 / 0.05,0.000,,,2025.01.16 02:00:20,filled,tp 156.198
2025.01.16 02:00:40,82,USDJPY#,sell,0.05 / 0.05,0.000,156.424,156.099,2025.01.16 02:00:40,filled,OkiFVG
2025.01.16 02:20:40,83,USDJPY#,buy,0.05 / 0.05,0.000,,,2025.01.16 02:20:40,filled,sl 156.424
2025.01.16 02:45:20,84,USDJPY#,sell,0.04 / 0.04,0.000,156.508,156.101,2025.01.16 02:45:20,filled,OkiFVG
2025.01.16 02:49:40,85,USDJPY#,buy,0.04 / 0.04,0.000,,,2025.01.16 02:49:40,filled,sl 156.508
2025.01.16 03:00:20,86,USDJPY#,sell,0.03 / 0.03,0.000,156.460,155.958,2025.01.16 03:00:20,filled,OkiFVG
2025.01.16 03:25:40,87,USDJPY#,buy,0.03 / 0.03,0.000,,,2025.01.16 03:25:40,filled,tp 155.958
2025.01.16 03:30:20,88,USDJPY#,sell,0.02 / 0.02,0.000,156.115,155.448,2025.01.16 03:30:20,filled,OkiFVG
2025.01.16 04:02:40,89,USDJPY#,buy,0.02 / 0.02,0.000,,,2025.01.16 04:02:40,filled,tp 155.448
2025.01.17 00:07:20,90,USDJPY#,sell,0.05 / 0.05,0.000,155.287,154.942,2025.01.17 00:07:20,filled,OkiFVG
2025.01.17 01:24:40,91,USDJPY#,buy,0.05 / 0.05,0.000,,,2025.01.17 01:24:40,filled,sl 155.287
2025.01.17 02:00:20,92,USDJPY#,buy,0.06 / 0.06,0.000,155.188,155.487,2025.01.17 02:00:20,filled,OkiFVG
2025.01.17 02:30:40,93,USDJPY#,sell,0.06 / 0.06,0.000,,,2025.01.17 02:30:40,filled,sl 155.188
2025.01.17 03:15:20,94,USDJPY#,buy,0.03 / 0.03,0.000,154.981,155.467,2025.01.17 03:15:20,filled,OkiFVG
2025.01.17 06:00:40,95,USDJPY#,sell,0.03 / 0.03,0.000,,,2025.01.17 06:00:40,filled,tp 155.467
2025.01.17 06:22:40,96,USDJPY#,buy,0.03 / 0.03,0.000,155.118,155.656,2025.01.17 06:22:40,filled,OkiFVG
2025.01.17 07:41:40,97,USDJPY#,sell,0.03 / 0.03,0.000,,,2025.01.17 07:41:40,filled,tp 155.656
2025.01.17 07:45:40,98,USDJPY#,buy,0.04 / 0.04,0.000,155.422,155.841,2025.01.17 07:45:40,filled,OkiFVG
2025.01.17 10:11:40,99,USDJPY#,sell,0.04 / 0.04,0.000,,,2025.01.17 10:11:40,filled,sl 155.422
2025.01.17 10:15:20,100,USDJPY#,sell,0.02 / 0.02,0.000,155.808,155.210,2025.01.17 10:15:20,filled,OkiFVG
2025.01.17 11:25:40,101,USDJPY#,buy,0.02 / 0.02,0.000,,,2025.01.17 11:25:40,filled,sl 155.808
2025.01.17 11:30:40,102,USDJPY#,buy,0.02 / 0.02,0.000,155.397,156.095,2025.01.17 11:30:40,filled,OkiFVG
2025.01.17 16:38:40,103,USDJPY#,sell,0.02 / 0.02,0.000,,,2025.01.17 16:38:40,filled,tp 156.095
2025.01.20 00:45:30,104,USDJPY#,buy,0.05 / 0.05,0.000,156.156,156.495,2025.01.20 00:45:30,filled,OkiFVG
2025.01.20 01:21:40,105,USDJPY#,sell,0.05 / 0.05,0.000,,,2025.01.20 01:21:40,filled,tp 156.495
2025.01.20 01:30:40,106,USDJPY#,buy,0.04 / 0.04,0.000,156.246,156.667,2025.01.20 01:30:40,filled,OkiFVG
2025.01.20 02:06:40,107,USDJPY#,sell,0.04 / 0.04,0.000,,,2025.01.20 02:06:40,filled,sl 156.246
2025.01.20 02:15:20,108,USDJPY#,sell,0.03 / 0.03,0.000,156.505,155.986,2025.01.20 02:15:20,filled,OkiFVG
2025.01.20 02:59:40,109,USDJPY#,buy,0.03 / 0.03,0.000,,,2025.01.20 02:59:40,filled,tp 155.986
2025.01.20 03:00:20,110,USDJPY#,sell,0.03 / 0.03,0.000,156.301,155.719,2025.01.20 03:00:20,filled,OkiFVG
2025.01.20 05:52:40,111,USDJPY#,buy,0.03 / 0.03,0.000,,,2025.01.20 05:52:40,filled,tp 155.719
2025.01.20 06:00:40,112,USDJPY#,sell,0.03 / 0.03,0.000,156.041,155.481,2025.01.20 06:00:40,filled,OkiFVG
2025.01.20 07:20:20,113,USDJPY#,buy,0.03 / 0.03,0.000,,,2025.01.20 07:20:20,filled,sl 156.041
2025.01.20 09:45:20,114,USDJPY#,sell,0.03 / 0.03,0.000,156.275,155.812,2025.01.20 09:45:20,filled,OkiFVG
2025.01.20 11:18:40,115,USDJPY#,buy,0.03 / 0.03,0.000,,,2025.01.20 11:18:40,filled,sl 156.275
2025.01.20 12:30:20,116,USDJPY#,buy,0.03 / 0.03,0.000,156.030,156.583,2025.01.20 12:30:20,filled,OkiFVG
2025.01.20 15:30:40,117,USDJPY#,sell,0.03 / 0.03,0.000,,,2025.01.20 15:30:40,filled,sl 156.030
2025.01.20 15:45:40,118,USDJPY#,sell,0.02 / 0.02,0.000,156.283,155.694,2025.01.20 15:45:40,filled,OkiFVG
2025.01.20 16:00:40,119,USDJPY#,buy,0.02 / 0.02,0.000,,,2025.01.20 16:00:40,filled,tp 155.694
2025.01.20 16:05:40,120,USDJPY#,sell,0.02 / 0.02,0.000,156.091,155.470,2025.01.20 16:05:40,filled,OkiFVG
2025.01.20 16:41:40,121,USDJPY#,buy,0.02 / 0.02,0.000,,,2025.01.20 16:41:40,filled,tp 155.470
2025.01.21 01:15:20,122,USDJPY#,sell,0.03 / 0.03,0.000,155.699,155.195,2025.01.21 01:15:20,filled,OkiFVG
2025.01.21 01:52:40,123,USDJPY#,buy,0.03 / 0.03,0.000,,,2025.01.21 01:52:40,filled,tp 155.195
2025.01.21 01:56:40,124,USDJPY#,sell,0.03 / 0.03,0.000,155.585,155.056,2025.01.21 01:56:40,filled,OkiFVG
2025.01.21 02:14:40,125,USDJPY#,buy,0.03 / 0.03,0.000,,,2025.01.21 02:14:40,filled,tp 155.056
